,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_len,conf_bin,lift_bin
0,"'udp/53698_H', 'CDN77-CDN_H'",'ADP-NetBIOS.Session.Service_L',0.9333333333333332,0.6,0.5666666666666667,0.6071428571428571,1.011904761904762,1.0,0.0066666666666667,1.018181818181818,0.1764705882352953,0.5862068965517242,0.0178571428571427,0.7757936507936507,2,"(0.583, 0.636]","(0.999, 1.023]"
1,"'DNS_H', 'tcp/8081_H'",'OVHcloud-OVH.Telecom_M',0.8,0.4333333333333333,0.4333333333333333,0.5416666666666666,1.2499999999999998,1.0,0.0866666666666666,1.2363636363636363,1.0000000000000002,0.5416666666666666,0.1911764705882352,0.7708333333333333,2,"(0.536, 0.583]","(1.2, 1.261]"
2,'Stark.Industries-Stark.Industries.Hosting.Service_M',"'udp/39670_H', 'Dropbox-NetBIOS.Session.Service_L'",0.7,0.5333333333333333,0.4,0.5714285714285715,1.0714285714285716,1.0,0.0266666666666667,1.088888888888889,0.2222222222222226,0.48,0.0816326530612246,0.6607142857142858,1,"(0.536, 0.583]","(1.071, 1.086]"
3,"'Tencent-VooV.Meeting_H', 'OVHcloud-OVH.Telecom_M'",'Truecaller-Truecaller_M',0.3666666666666666,0.6666666666666666,0.3333333333333333,0.9090909090909092,1.3636363636363638,1.0,0.0888888888888889,3.666666666666666,0.4210526315789475,0.4761904761904762,0.7272727272727272,0.7045454545454546,2,"(0.882, 0.917]","(1.261, 1.467]"
4,"'Amazon-Web_M', 'udp/5228_M'",'udp/49304_H',0.4,0.6333333333333333,0.3,0.7499999999999999,1.1842105263157894,1.0,0.0466666666666666,1.466666666666666,0.2592592592592591,0.4090909090909091,0.3181818181818179,0.6118421052631579,2,"(0.692, 0.75]","(1.145, 1.2]"
5,"'Alibaba-Alibaba.Cloud_H', 'udp/50084_H'",'Truecaller-Truecaller_M',0.8666666666666667,0.6666666666666666,0.6,0.6923076923076923,1.0384615384615383,1.0,0.0222222222222222,1.0833333333333337,0.2777777777777783,0.6428571428571429,0.0769230769230769,0.7961538461538462,2,"(0.636, 0.692]","(1.034, 1.058]"
6,'DNS-Root.Name.Servers_H',"'Google-DNS_H', 'Cisco-NetBIOS.Session.Service_M'",0.5666666666666667,0.7,0.4666666666666667,0.823529411764706,1.1764705882352944,1.0,0.07,1.7000000000000008,0.3461538461538465,0.5833333333333334,0.4117647058823532,0.7450980392156863,1,"(0.75, 0.824]","(1.145, 1.2]"
7,"'udp/6002_H', 'udp/5001_H'",'Meta-NetBIOS.Session.Service_M',0.8333333333333334,0.8333333333333334,0.7666666666666667,0.92,1.104,1.0,0.0722222222222221,2.083333333333334,0.5652173913043476,0.8518518518518519,0.5200000000000001,0.92,2,"(0.917, 0.95]","(1.086, 1.111]"
8,'Naver-Line_H',"'tcp/18920_H', 'NTP_H'",0.8666666666666667,0.8,0.7333333333333333,0.846153846153846,1.0576923076923077,1.0,0.0399999999999999,1.2999999999999987,0.4090909090909084,0.7857142857142856,0.23076923076923,0.8814102564102563,1,"(0.824, 0.882]","(1.034, 1.058]"
9,'DNS-Root.Name.Servers_H',"'Akamai-CDN_H', 'Apple-ICMP_H'",0.5666666666666667,0.5,0.4333333333333333,0.7647058823529412,1.5294117647058825,1.0,0.15,2.1250000000000004,0.7988165680473374,0.6842105263157895,0.5294117647058825,0.8156862745098039,1,"(0.75, 0.824]","(1.467, 3.333]"
10,'Imperva-Imperva.Cloud.WAF_M',"'Yahoo-Inbound_Email_H', 'Kaspersky-Web_H'",0.7333333333333333,0.6333333333333333,0.4666666666666667,0.6363636363636365,1.0047846889952154,1.0,0.0022222222222222,1.0083333333333335,0.0178571428571434,0.5185185185185185,0.0082644628099177,0.6866028708133972,1,"(0.583, 0.636]","(0.999, 1.023]"
11,'udp/6002_H',"'SMB_H', 'Intuit-Web_M'",0.8333333333333334,0.5333333333333333,0.5,0.6,1.125,1.0,0.0555555555555555,1.1666666666666663,0.6666666666666664,0.5769230769230769,0.1428571428571428,0.76875,1,"(0.583, 0.636]","(1.111, 1.145]"
12,"'Pinterest-Web_H', 'SSH_M'",'Hurricane.Electric-Hurricane.Electric.Internet.Services_H',0.6,0.4,0.3,0.5,1.25,1.0,0.06,1.2,0.5,0.4285714285714286,0.1666666666666666,0.625,2,"(0.499, 0.536]","(1.2, 1.261]"
13,"'Stark.Industries-Stark.Industries.Hosting.Service_M', 'Netflix-Web_H'",'Cisco-Web_H',0.5333333333333333,0.8666666666666667,0.5,0.9375,1.0817307692307692,1.0,0.0377777777777777,2.133333333333333,0.1619047619047617,0.5555555555555556,0.5312499999999999,0.7572115384615384,2,"(0.917, 0.95]","(1.071, 1.086]"
14,'tcp/4444_H',"'tcp/4443_H', 'Cisco-Web_H'",0.4666666666666667,0.4666666666666667,0.3,0.6428571428571428,1.3775510204081631,1.0,0.0822222222222222,1.493333333333333,0.5138888888888887,0.4736842105263158,0.3303571428571427,0.6428571428571428,1,"(0.636, 0.692]","(1.261, 1.467]"
15,'SSH_M',"'Netflix-Web_H', 'GCore.Labs-CDN_H'",0.7666666666666667,0.6333333333333333,0.5333333333333333,0.6956521739130435,1.0983981693363845,1.0,0.0477777777777777,1.2047619047619047,0.3839285714285713,0.6153846153846154,0.1699604743083004,0.7688787185354691,1,"(0.692, 0.75]","(1.086, 1.111]"
16,"'GlobalSign-OCSP_H', 'TELNET_M'",'Xero-Web_M',0.7333333333333333,0.4666666666666667,0.3666666666666666,0.5,1.0714285714285714,1.0,0.0244444444444444,1.0666666666666669,0.2499999999999998,0.44,0.0624999999999999,0.6428571428571428,2,"(0.499, 0.536]","(1.058, 1.071]"
17,'Cloudflare-DNS_H',"'Cisco-NetBIOS.Session.Service_M', 'udp/62312_M'",0.5333333333333333,0.3666666666666666,0.3,0.5625,1.5340909090909092,1.0,0.1044444444444444,1.4476190476190476,0.7460317460317462,0.5000000000000001,0.3092105263157895,0.6903409090909092,1,"(0.536, 0.583]","(1.467, 3.333]"
