Service,Frequency
SMB,5564059
HTTPS,1213469
Akamai-CDN,722077
BuiltIn-Meta-Whatsapp,660643
Apple-Web,532627
Cloudflare-CDN,504660
Microsoft-Skype_Teams,289702
IKE,253400
Google-ICMP,207667
Alibaba-Alibaba.Cloud,161849
HTTP,152203
PING,143342
Microsoft-Web,138614
Tencent-Other,134372
ntp.org-NTP,127694
Google-DNS,121164
Meta-Whatsapp,104628
Apple-Inbound_Email,102046
Microsoft-Microsoft.Update,92608
tcp/7680,90332
Tencent-DNS,85346
DigitalOcean-DigitalOcean.Platform,80407
LinkedIn-Web,76916
Microsoft-Office365.Published,76572
Apple-APNs,72938
Sony-PlayStation.Network,70338
tcp/8888,64450
DNS,58533
Cloudflare-NTP,58056
tcp/39670,55852
OVHcloud-OVHcloud,53758
DigiCert-OCSP,51932
tcp/8886,50002
Microsoft-NetBIOS.Session.Service,48200
Hetzner-Hetzner.Hosting.Service,46997
Microsoft-Office365,46508
Baidu-Web,44572
Baidu-DNS,42944
MMS,42896
udp/5001,41448
NTP,36950
SNMP,30470
Microsoft-Outlook,30382
Apple-NetBIOS.Session.Service,29910
Adobe-Web,29887
CDN77-CDN,29828
Cloudflare-DNS,28876
Cloudflare-Web,27072
Apple-NTP,26726
NIST-ITS,25652
AnyDesk-AnyDesk,25650
Hosting-Bulletproof.Hosting,25254
Akamai-Linode.Cloud,23790
tcp/30192,22884
Alibaba-DingTalk,21718
Tencent-Web,20624
Alibaba-NetBIOS.Session.Service,19250
Datadog-Datadog,18712
udp/39670,17018
udp/443,15774
udp/51896,15610
Tencent-NetBIOS.Session.Service,15594
Citrix-Web,15524
Oracle-Oracle.Cloud,15380
Yahoo-Web,14596
NewRelic-Web,14578
Avast-Avast.Security,12634
Apple-Other,12476
INAP-INAP,12408
tcp/8080,12061
udp/53698,12032
GlobalSign-OCSP,10809
Valve-Steam,10346
udp/137,10226
DNS-DoH_DoT,10082
Microsoft-ICMP,9934
Kaspersky-Web,9840
Vultr-Vultr.Cloud,9610
tcp/8081,9386
tcp/853,8774
Yahoo-Inbound_Email,8614
Naver-Line,8001
tcp/83,7454
Dropbox-Web,7388
Baidu-ICMP,7374
udp/57450,7370
Sectigo-Sectigo,6808
tcp/9876,6594
Adobe-Adobe.Experience.Cloud,6306
Cisco-Web,6176
Netflix-Web,5972
tcp/4443,5700
udp/8765,5688
tcp/8181,5660
Yandex-Web,5494
ByteDance-Lark,5486
Rackspace-CDN,5470
M247-M247.Hosting.Service,5362
tcp/1688,5226
SSL,5196
Adobe-Adobe.Sign,5060
Pinterest-Web,5058
tcp/9002,4980
tcp/18920,4884
udp/60047,4656
tcp/1900,4448
Oracle-NetBIOS.Session.Service,4266
Zoom.us-Zoom.Meeting,4204
Cisco-Webex,4138
DHCP,4032
DNS-Root.Name.Servers,3988
Zscaler-Zscaler.Cloud,3974
tcp/1,3736
tcp/5000,3718
Blockchain-Crypto.Mining.Pool,3672
tcp/21909,3654
